Date,Open,High,Low,Close,Adj Close,Volume
2014-05-20,85.9599990845,86.2399978638,85.3600006104,85.6500015259,58.4996185303,4510200
2014-05-21,85.7799987793,86.1500015259,85.5299987793,86.0999984741,58.8069648743,2647100
2014-05-22,86.0599975586,86.0999984741,85.4000015259,85.5800018311,58.4518051147,2970600
2014-05-23,85.3600006104,86.0500030518,85.3600006104,85.8300018311,58.6225776672,2750700
2014-05-27,85.8099975586,86.6299972534,85.6500015259,86.5299987793,59.1006698608,4400100
2014-05-28,86.3499984741,87.1600036621,86.3399963379,87.0699996948,59.4695053101,4030700
2014-05-29,86.9899978638,87.8399963379,86.8799972534,87.7300033569,59.9202842712,4647300
2014-05-30,87.6100006104,88.4800033569,87.4100036621,88.3300018311,60.3300933838,5181600
2014-06-02,88.1200027466,88.3899993896,87.7600021362,87.8700027466,60.0158996582,2876100
2014-06-03,87.4400024414,88.2399978638,87.3099975586,88.2200012207,60.2549591064,5174700
2014-06-04,87.5199966431,88.0500030518,87.3399963379,87.4300003052,60.1620788574,3872400
2014-06-05,87.7900009155,87.9199981689,87.2200012207,87.7600021362,60.3891410828,2937800
2014-06-06,87.8600006104,88.0699996948,87.5299987793,87.9100036621,60.4923706055,3675400
2014-06-09,87.8199996948,88.3300018311,87.8199996948,88.0000000000,60.5542907715,2280100
2014-06-10,87.8399963379,88.7200012207,87.6699981689,88.4199981689,60.8432998657,3420600
2014-06-11,88.1500015259,88.5000000000,87.7399978638,87.7799987793,60.4029006958,3747600
2014-06-12,87.5899963379,87.7099990845,86.9499969482,87.2200012207,60.0175437927,3856200
2014-06-13,87.1500015259,87.3600006104,86.8199996948,87.1900024414,59.9969253540,3047500
2014-06-16,86.8700027466,87.7399978638,86.7099990845,87.5500030518,60.2446250916,3894500
2014-06-17,87.6500015259,87.9700012207,87.0699996948,87.2799987793,60.0588417053,3393100
2014-06-18,87.3399963379,88.9700012207,87.1100006104,88.9000015259,61.1735610962,5314400
2014-06-19,88.9599990845,90.0999984741,88.9199981689,90.0999984741,61.9993286133,5380400
2014-06-20,90.1399993896,90.2399978638,89.0999984741,89.0999984741,61.3112258911,5697000
2014-06-23,89.1999969482,89.2600021362,87.7399978638,88.3899993896,60.8226509094,4187700
