timestamp,open,high,low,close,volume
2026-05-12,150.5400,152.7200,148.3550,151.8500,6250654
2026-05-11,154.3900,154.7000,149.0600,149.4100,8373262
2026-05-08,156.7500,157.3000,154.3800,154.6200,4934779
2026-05-07,155.0100,157.3500,154.8800,156.2900,4464045
2026-05-06,155.8000,156.9277,154.8650,155.9600,5296905
2026-05-05,154.0500,156.3100,152.5400,155.0400,6200143
2026-05-04,155.9000,156.7300,153.6650,154.5900,5331240
2026-05-01,159.5500,160.0000,156.4300,157.4100,4447358
2026-04-30,155.9800,159.0000,155.2800,158.4900,7065546
2026-04-29,155.5900,156.4900,153.4800,155.2900,4047631
2026-04-28,156.8000,158.1100,155.3219,156.2900,5174311
2026-04-27,155.5300,156.6500,154.0000,154.1000,4077005
2026-04-24,155.9300,156.2800,154.6600,155.4400,5364948
2026-04-23,155.1550,156.6100,154.5700,155.7000,6077621
2026-04-22,155.0750,157.2200,153.5500,153.7900,5921320
2026-04-21,156.7400,157.0400,153.7300,154.9200,6357256
2026-04-20,158.7400,158.8400,155.8400,156.9900,5731013
2026-04-17,158.2550,160.0250,156.4700,157.6700,7799930
